Isparta,Senirkent,12592,11395,10659
Isparta,Sütçüler,11464,10295,9470
Isparta,Uluborlu,7165,6287,6344
Isparta,Yalvaç,48803,46688,44777
Isparta,Yenişarbademli,2359,2087,2251
Isparta,Şarkikaraağaç,25769,25151,24579
Iğdır,Aralık,21843,21313,19485
Iğdır,Iğdır Merkez,132110,140267,152454
Iğdır,Karakoyunlu,13929,13925,12736
Iğdır,Tuzluca,24174,23937,22182
Kahramanmaraş,Afşin,82122,80447,78836
Kahramanmaraş,Andırın,35298,32503,32059
Kahramanmaraş,Dulkadiroğlu,218029,222673,217530
Kahramanmaraş,Ekinözü,12526,11221,10047
Kahramanmaraş,Elbistan,142168,141534,130246
Kahramanmaraş,Göksun,52142,52255,49576
Kahramanmaraş,Nurhak,13068,12279,11824
Kahramanmaraş,Onikişubat,371394,431848,436385
Kahramanmaraş,Pazarcık,69320,69097,67057
Kahramanmaraş,Türkoğlu,68423,77112,78047
Kahramanmaraş,Çağlayancerit,24548,23133,22498
Karabük,Eflani,8918,8823,9173
Karabük,Eskipazar,12544,12996,13099
Karabük,Karabük Merkez,127658,133615,134810
Karabük,Ovacık,3168,4274,4509
Karabük,Safranbolu,58295,68440,69441
Karabük,Yenice,20750,20310,19446
Karaman,Ayrancı,8713,7965,7342
Karaman,Başyayla,3861,3650,3292
Karaman,Ermenek,29957,28565,27988
Karaman,Karaman Merkez,181383,197276,207686
Karaman,Kazımkarabekir,4302,4328,4683
Karaman,Sarıveliler,12146,11495,11800
Kars,Akyaka,11375,10584,9693
Kars,Arpaçay,18737,16645,14143
Kars,Digor,24932,21730,18528
Kars,Kars Merkez,111278,116712,120948
Kars,Kağızman,46687,45505,43331
Kars,Sarıkamış,47231,41280,36293
Kars,Selim,24924,22910,20725
Kars,Susuz,11302,10044,8639
Kastamonu,Abana,4175,4113,4419
Kastamonu,Araç,19038,18670,18452
Kastamonu,Azdavay,7154,7324,7462
Kastamonu,Ağlı,2980,3094,3250
Kastamonu,Bozkurt,9292,9468,9425
Kastamonu,Cide,20613,22196,22587
Kastamonu,Daday,9186,8319,7992
Kastamonu,Devrekani,12728,12658,12544
Kastamonu,Doğanyurt,6464,5651,5173
Kastamonu,Hanönü,3976,4060,4322
Kastamonu,Kastamonu Merkez,137391,152553,156638
Kastamonu,Küre,6588,5774,5303
Kastamonu,Pınarbaşı,5590,5841,6036
Kastamonu,Seydiler,4015,4014,4627
Kastamonu,Taşköprü,38775,37815,37196
Kastamonu,Tosya,40599,39916,39401
Kastamonu,Çatalzeytin,6551,7055,7626
Kastamonu,İhsangazi,6104,5381,5122
Kastamonu,İnebolu,22918,20980,20036
Kastamonu,Şenpazar,4770,4523,4380
Kayseri,Akkışla,6234,5999,5738
Kayseri,Bünyan,27944,30113,30486
Kayseri,Develi,64550,66250,67676
Kayseri,Felahiye,6451,5569,5781
Kayseri,Hacılar,12290,12443,13270
Kayseri,Kocasinan,384203,400726,416214
Kayseri,Melikgazi,537035,582055,589989
Kayseri,Pınarbaşı,25293,22900,21567
Kayseri,Sarıoğlan,14521,14107,13943
Kayseri,Sarız,10529,9537,9853
Kayseri,Talas,128414,165127,171689
Kayseri,Tomarza,24131,22028,20832
Kayseri,Yahyalı,36578,36208,35558
Kayseri,Yeşilhisar,15864,15935,15674
Kayseri,Özvatan,3934,4164,4067
